
age,annual_income($)
17,17123
17,18375
16,18557
23,17721
22,17291
23,19060
23,17654
24,19456
24,18398
21,17106
17,17194
17,18029
16,17972
22,19702
24,19052
19,19785
20,17805
24,18826
21,17721
18,18928
21,17474
16,18336
17,17873
23,19594
23,18889
23,19225
21,19603
17,18219
20,17370
17,19829
34,21979
25,22057
33,20524
33,21366
28,20946
33,21997
27,20858
33,21689
25,21979
25,20696
27,20910
33,20890
30,21634
29,20966
32,20853
31,21221
28,21456
33,20779
30,21706
30,21540
33,22229
26,22895
29,21330
31,21719
28,20843
25,20834
30,20595
35,22257
34,21988
30,21663
38,23932
36,24530
37,26394
43,26633
41,26085
44,24346
49,25409
47,25071
38,23653
47,25490
42,24607
44,25631
49,23439
41,23759
47,26298
42,25369
40,24200
48,24458
47,24782
45,23224
45,23563
38,27019
44,24286
48,26205
38,25533
41,25240
46,27004
41,25595
47,27520
40,24971
60,24144
51,24470
52,23958
51,23337
63,24664
61,23476
51,24265
57,23630
50,24006
51,23793
50,24380
51,24181
57,24479
52,24014
63,23794
55,24135
60,24673
51,24714
52,24086
62,23106
64,23609
52,23994
52,24659
53,23595
54,24306
54,23926
62,23856
55,24394
52,24061
61,23893
57,21471
59,21624
75,20589
73,21181
73,21534
69,20514
73,20577
73,21015
66,21962
67,22054
66,21492
75,20808
68,21366
74,21335
75,22459
75,21232
75,21892
70,21750
69,21986
74,20341
73,22041
68,22123
71,21562
69,20841
67,20834
66,21653
75,20631
74,20572
69,21452
73,20754
