statement_id,Link,Publication Date,Entities,Annual Revenue,Industry Sectors,Countries
12,https://modernslaveryregister.gov.au/statements/12/,2020-11-26 17:41:32,['Qinetiq Pty Ltd (68 125 805 647)'],100-150M,['Defence and aerospace'],['Australia']
16,https://modernslaveryregister.gov.au/statements/16/,2020-11-26 17:58:58,['ORIX AUSTRALIA CORPORATION LIMITED (79 002 992 681)'],Unknown,"['Transportation, logistics, and storage\nFinancial, insurance and real estate activities']",['Australia']
35,https://modernslaveryregister.gov.au/statements/35/,2020-11-26 17:30:48,['ALDI STORES (A LIMITED PARTNERSHIP) (90 196 565 019)'],Unknown,['Other'],['Australia']
37,https://modernslaveryregister.gov.au/statements/37/,2020-11-26 17:31:09,"['KPMG Australia (51 194 660 183), KPMG FINANCIAL ADVISORY SERVICES (AUSTRALIA) PTY LTD (43 007 363 215), KPMG HOLDINGS (AUSTRALIA) PTY LTD (34 064 067 241), The Trustee for KPMG AUSTRALIAN SERVICE TRUST (87 160 010 116)']",Unknown,"['Professional and administrative services and supplies, including legal, consulting and accounting services']",['Australia']
39,https://modernslaveryregister.gov.au/statements/39/,2020-11-26 17:31:20,['SANTOS LIMITED (80 007 550 923)'],1BN+,"['Mining, metals, chemicals and resources (including oil and gas)']",['Australia']
40,https://modernslaveryregister.gov.au/statements/40/,2020-11-26 17:34:41,['KERRY INGREDIENTS AUSTRALIA PTY. LIMITED (47 072 996 895)'],200-250M,"['Food and beverages, agriculture and fishing\nOther']",['Ireland']
41,https://modernslaveryregister.gov.au/statements/41/,2020-11-26 17:39:48,['BT AUSTRALASIA PTY LIMITED (93 003 050 146)'],200-250M,['Information technology and telecommunication'],['United Kingdom']
51,https://modernslaveryregister.gov.au/statements/51/,2020-11-26 17:51:54,"['XERO AUSTRALIA PTY LIMITED (89 124 215 247), Xero Limited (81 160 661 183)']",700-800M,"['Information technology and telecommunication\nProfessional and administrative services and supplies, including legal, consulting and accounting services']","['Australia, New Zealand']"
62,https://modernslaveryregister.gov.au/statements/62/,2020-11-26 17:38:24,['OBAYASHI CORPORATION (86 002 932 756)'],Unknown,"['Construction, civil engineering and building products']",['Japan']
68,https://modernslaveryregister.gov.au/statements/68/,2021-01-28 11:48:09,['JAMF SOFTWARE AUSTRALIA PTY LTD (47 165 322 154)'],200-250M,['Information technology and telecommunication'],['United States of America']
70,https://modernslaveryregister.gov.au/statements/70/,2021-07-05 09:02:36,"['NETRATINGS AUSTRALIA PTY LIMITED (47 081 796 287), NIELSEN CONNECT AUSTRALIA PTY LTD (97 638 234 474), NIELSEN SPORTS PTY LTD (59 106 863 325), NIELSEN TELEVISION AUDIENCE MEASUREMENT PTY LTD (57 089 686 500), THE NIELSEN COMPANY (AUSTRALIA) PTY LTD (35 008 417 874)']",1BN+,"['Media, publishing, arts and entertainment\nInformation technology and telecommunication']",['United States of America']
74,https://modernslaveryregister.gov.au/statements/74/,2020-11-26 17:47:01,['BRADKEN PTY LIMITED (33 108 693 009)'],800-900M,['Other'],['Australia']
77,https://modernslaveryregister.gov.au/statements/77/,2020-11-26 17:50:07,['GWA GROUP LIMITED (15 055 964 380)'],350-400M,"['Construction, civil engineering and building products']",['Australia']
79,https://modernslaveryregister.gov.au/statements/79/,2020-11-26 17:38:08,['NEC AUSTRALIA PTY LTD (86 001 217 527)'],350-400M,['Information technology and telecommunication'],['Australia']
83,https://modernslaveryregister.gov.au/statements/83/,2020-11-26 17:50:29,['DEXUS FUNDS MANAGEMENT LIMITED (24 060 920 783)'],1BN+,"['Financial, insurance and real estate activities']",['Australia']
88,https://modernslaveryregister.gov.au/statements/88/,2020-11-26 17:47:58,['Origin Energy Limited'],1BN+,"['Utilities: gas, water and electricity']",['Australia']
95,https://modernslaveryregister.gov.au/statements/95/,2020-11-26 17:32:53,"['ASX CLEAR (FUTURES) PTY LIMITED (91 050 615 864), ASX CLEARING CORPORATION PTY LIMITED (45 087 801 554), ASX LIMITED (98 008 624 691), ASX OPERATIONS PTY. LTD. (42 004 523 782)']",1BN+,"['Financial, insurance and real estate activities\nOther']",['Australia']
97,https://modernslaveryregister.gov.au/statements/97/,2020-11-26 17:32:08,"[""NANDO'S AUSTRALIA PTY LTD (20 079 066 407), NANDO'S PERI-PERI AUSTRALIA PTY LTD (86 627 885 956)""]",Unknown,"['Food and beverages, agriculture and fishing\nConsumer services, including accommodation, hospitality, tourism and leisure']",['Australia']
103,https://modernslaveryregister.gov.au/statements/103/,2020-11-26 17:39:04,['STOCKLAND CORPORATION LTD (43 000 181 733)'],1BN+,"['Financial, insurance and real estate activities']",['Australia']
106,https://modernslaveryregister.gov.au/statements/106/,2020-11-26 17:35:48,['DOMAIN HOLDINGS AUSTRALIA LIMITED (43 094 154 364)'],250-300M,"['Media, publishing, arts and entertainment\nInformation technology and telecommunication\nFinancial, insurance and real estate activities']",['Australia']
113,https://modernslaveryregister.gov.au/statements/113/,2020-11-26 17:41:18,['AVG TECHNOLOGIES AU PTY LTD (79 159 743 978)'],800-900M,['Information technology and telecommunication'],"['Czech Republic, United Kingdom']"
115,https://modernslaveryregister.gov.au/statements/115/,2020-12-22 16:57:03,['CONCIERGE CONTACTS PTY. LTD. (53 149 081 756)'],0-99M,"['Fashion, textiles, apparel and luxury goods\nOther']",['Australia']
120,https://modernslaveryregister.gov.au/statements/120/,2020-11-26 17:42:52,"['BSR Australia Limited (84 122 529 695), BSR Franchising Pty Ltd (21 122 556 094)']",100-150M,"['Durable consumer goods, including electronics and appliances, home furnishings and other accessories']",['Australia']
123,https://modernslaveryregister.gov.au/statements/123/,2020-11-26 17:43:19,['MITSUBISHI AUSTRALIA LIMITED (81 004 354 278)'],Unknown,"['Mining, metals, chemicals and resources (including oil and gas)\nTransportation, logistics, and storage']",['Japan']
126,https://modernslaveryregister.gov.au/statements/126/,2020-11-26 17:39:18,"['BLIGH RESOURCES LIMITED (83 130 964 162), KALGOORLIE CONSOLIDATED GOLD MINES PTY LTD (97 009 377 619), SARACEN GOLDFIELDS PTY LTD (44 637 156 579), SARACEN GOLD MINES PTY LIMITED (14 116 649 122), SARACEN KALGOORLIE PTY LIMITED (19 008 143 137), SARACEN METALS PTY LIMITED (15 107 154 727), SARACEN MINERAL HOLDINGS LIMITED (52 009 215 347), SARACEN NICKEL PTY LTD (57 635 649 606), S R Mining Pty Ltd (91 151 605 417), TALISMAN NICKEL PTY LTD (42 601 140 185)']",1BN+,"['Mining, metals, chemicals and resources (including oil and gas)']",['Australia']
134,https://modernslaveryregister.gov.au/statements/134/,2020-11-26 17:40:07,"['DENDROBIUM COAL PTY LTD (85 098 744 088), ENDEAVOUR COAL PTY LIMITED (38 099 830 476), GROOTE EYLANDT MINING COMPANY PROPRIETARY LIMITED (26 004 618 491), ILLAWARRA COAL HOLDINGS PTY LTD (69 093 857 286), SOUTH32 ALUMINIUM (RAA) PTY LTD (54 095 831 119), SOUTH32 ALUMINIUM (WORSLEY) PTY LTD (33 088 336 921), SOUTH32 CANNINGTON PROPRIETARY LIMITED (48 125 530 967), SOUTH32 LIMITED (84 093 732 597), TASMANIAN ELECTRO METALLURGICAL COMPANY PROPRIETARY LIMITED (23 004 456 035)']",1BN+,"['Mining, metals, chemicals and resources (including oil and gas)']",['Australia']
139,https://modernslaveryregister.gov.au/statements/139/,2020-11-26 17:31:37,['EGO PHARMACEUTICALS PTY LTD (86 005 142 361)'],150-200M,['Healthcare and pharmaceuticals'],['Australia']
142,https://modernslaveryregister.gov.au/statements/142/,2020-11-26 17:35:18,['GHD PTY LTD (39 008 488 373)'],1BN+,"['Professional and administrative services and supplies, including legal, consulting and accounting services']",['Australia']
144,https://modernslaveryregister.gov.au/statements/144/,2020-11-26 17:53:43,['NINE ENTERTAINMENT CO. HOLDINGS LIMITED (60 122 203 892)'],1BN+,"['Media, publishing, arts and entertainment']",['Australia']
145,https://modernslaveryregister.gov.au/statements/145/,2020-11-26 17:52:50,['HAMMONDCARE (48 000 026 219)'],300-350M,['Education and research\nHealthcare and pharmaceuticals\nCharitable / not-for-profit activities\nOther'],['Australia']
154,https://modernslaveryregister.gov.au/statements/154/,2020-11-26 17:28:55,"['ENDEAVOUR GROUP LIMITED (77 159 767 843), WOOLWORTHS GROUP LIMITED (88 000 014 675)']",1BN+,"['Food and beverages, agriculture and fishing\nOther']",['Australia']
156,https://modernslaveryregister.gov.au/statements/156/,2020-11-26 17:31:25,['BHP GROUP LIMITED (49 004 028 077)'],1BN+,"['Mining, metals, chemicals and resources (including oil and gas)']",['Australia']
163,https://modernslaveryregister.gov.au/statements/163/,2020-11-26 17:43:32,['ANRITSU CORPORATION'],1BN+,['Information technology and telecommunication'],['Japan']
168,https://modernslaveryregister.gov.au/statements/168/,2020-11-26 17:43:02,"['CSR BUILDING PRODUCTS LIMITED (55 008 631 356), CSR LIMITED (90 000 001 276), GOVE ALUMINIUM FINANCE LTD (45 001 860 073), PGH BRICKS & PAVERS PTY LIMITED (68 168 794 821)']",1BN+,"['Construction, civil engineering and building products']",['Australia']
