bad_weather,is_rush_hour,mile_distance,urban_address,late
0,1,5,1,0
1,0,7,0,1
0,1,2,1,0
1,1,4.2,1,0
0,0,7.8,0,1
1,0,3.9,1,0
0,1,4,1,0
1,1,2,0,0
0,0,3.5,0,1
1,0,2.6,1,0
0,0,4.1,0,1
0,1,1.5,0,1
1,1,1.75,1,0
1,0,1.3,0,0
1,1,2.1,0,0
1,1,0.2,1,0
1,1,5.2,0,1
0,1,2,1,0
1,0,5.5,0,1
0,0,2,1,0
1,1,1.7,0,0
0,1,3,1,1
1,1,1.9,1,0
0,1,3.1,0,1
0,1,2.3,0,0
0,0,1.1,1,0
1,1,2.5,1,1
1,1,5,0,1
1,0,7.5,1,1
0,0,0.5,1,0
0,0,1.5,1,0
1,0,3.2,1,0
0,0,2.15,1,0
1,1,4.2,0,1
1,0,6.5,0,1
1,0,0.5,0,0
0,0,3.5,0,1
0,0,1.75,0,0
1,1,5,0,1
0,0,2,1,0
0,1,1.3,1,1
0,1,0.2,0,0
1,1,2.2,0,0
0,1,1.2,1,0
1,1,4.2,0,1
