Binomio Presidencial,Red Social,Fecha,Gasto Estimado ($)
(ADN) - D. Noboa - M. Pinto,Facebook,2025-03-23,7367.57
(ADN) - D. Noboa - M. Pinto,Facebook,2025-03-24,7907.29
(ADN) - D. Noboa - M. Pinto,Facebook,2025-03-25,5339.52
(ADN) - D. Noboa - M. Pinto,Facebook,2025-03-26,7146.77
(ADN) - D. Noboa - M. Pinto,Facebook,2025-03-27,8964.82
(ADN) - D. Noboa - M. Pinto,Facebook,2025-03-28,9590.0
(ADN) - D. Noboa - M. Pinto,Facebook,2025-03-29,8974.5
(ADN) - D. Noboa - M. Pinto,Facebook,2025-03-30,8650.95
(ADN) - D. Noboa - M. Pinto,Facebook,2025-03-31,12345.08
(ADN) - D. Noboa - M. Pinto,Facebook,2025-04-01,12204.99
(ADN) - D. Noboa - M. Pinto,Facebook,2025-04-02,8977.63
(ADN) - D. Noboa - M. Pinto,Facebook,2025-04-03,7612.9
(ADN) - D. Noboa - M. Pinto,Instagram,2025-03-23,11113.07
(ADN) - D. Noboa - M. Pinto,Instagram,2025-03-24,19050.42
(ADN) - D. Noboa - M. Pinto,Instagram,2025-03-25,15132.0
(ADN) - D. Noboa - M. Pinto,Instagram,2025-03-26,8793.0
(ADN) - D. Noboa - M. Pinto,Instagram,2025-03-27,10545.05
(ADN) - D. Noboa - M. Pinto,Instagram,2025-03-28,11170.23
(ADN) - D. Noboa - M. Pinto,Instagram,2025-03-29,11304.23
(ADN) - D. Noboa - M. Pinto,Instagram,2025-03-30,10480.93
(ADN) - D. Noboa - M. Pinto,Instagram,2025-03-31,17154.56
(ADN) - D. Noboa - M. Pinto,Instagram,2025-04-01,15654.99
(ADN) - D. Noboa - M. Pinto,Instagram,2025-04-02,12427.63
(ADN) - D. Noboa - M. Pinto,Instagram,2025-04-03,10996.9
(ADN) - D. Noboa - M. Pinto,Tiktok,2025-03-23,0.0
(ADN) - D. Noboa - M. Pinto,Tiktok,2025-03-24,1978.5
(ADN) - D. Noboa - M. Pinto,Tiktok,2025-03-25,6978.5
(ADN) - D. Noboa - M. Pinto,Tiktok,2025-03-26,6978.5
(ADN) - D. Noboa - M. Pinto,Tiktok,2025-03-27,6978.5
