Binomio Presidencial,Red Social,Gasto Estimado ($)
(ADN) - D. Noboa - M. Pinto,Facebook,36931.0
(ADN) - D. Noboa - M. Pinto,Instagram,97736.0
(ADN) - D. Noboa - M. Pinto,Tiktok,2539967.38
(ADN) - D. Noboa - M. Pinto,X,250854.18
(AMIGO) - J. Cueva - C. Reyes,Facebook,8683.5
(AMIGO) - J. Cueva - C. Reyes,Instagram,11065.5
(AMIGO) - J. Cueva - C. Reyes,Tiktok,57686.86
(AMIGO) - J. Cueva - C. Reyes,X,663.05
(AVANZA) - L. Tilleria - K. Rosero,Tiktok,188489.67
(AVANZA) - L. Tilleria - K. Rosero,X,3983.95
(CD) - J. Jairala - L. Vallecilla,Tiktok,147167.78
(CD) - J. Jairala - L. Vallecilla,X,3914.44
(CONSTRUYE) - H. Cucalón - C. Larrea,Facebook,2526.5
(CONSTRUYE) - H. Cucalón - C. Larrea,Instagram,7777.5
(CONSTRUYE) - H. Cucalón - C. Larrea,Tiktok,16317.09
(CONSTRUYE) - H. Cucalón - C. Larrea,X,7.53
(CREO) - F. Tabacchi - B. Sacancela,Facebook,22431.0
(CREO) - F. Tabacchi - B. Sacancela,Instagram,17648.0
(CREO) - F. Tabacchi - B. Sacancela,Tiktok,59339.09
(CREO) - F. Tabacchi - B. Sacancela,X,83.84
(DSI) - I. Saquicela - M. Coello,Tiktok,18764.96
(DSI) - I. Saquicela - M. Coello,X,574.99
(ID) - C. Rabascall - A. Rivas,Tiktok,4421.33
(ID) - C. Rabascall - A. Rivas,X,15.63
(MUPP) - L. Iza - K. Molina,Facebook,2490.0
(MUPP) - L. Iza - K. Molina,Instagram,2490.0
(MUPP) - L. Iza - K. Molina,Tiktok,169509.56
(MUPP) - L. Iza - K. Molina,X,2841.33
(PID) - V. Araus - C. Carrera,Tiktok,149614.54
(PID) - V. Araus - C. Carrera,X,32.9
(PSC) - H. Kronfle - D. Passailaigue,Facebook,43259.5
(PSC) - H. Kronfle - D. Passailaigue,Instagram,55254.5
(PSC) - H. Kronfle - D. Passailaigue,Tiktok,14179.28
(PSC) - H. Kronfle - D. Passailaigue,X,298.9
(PSE) - P. Granja - V. Silva,Tiktok,7071.12
(PSE) - P. Granja - V. Silva,X,95.24
(PSP) - A. González - G. Moncayo,Tiktok,455268.75
(PSP) - A. González - G. Moncayo,X,21312.6
(RC/RETO) - L. González - D. Borja,Facebook,21613.0
(RC/RETO) - L. González - D. Borja,Instagram,19014.0
(RC/RETO) - L. González - D. Borja,Tiktok,209956.5
(RC/RETO) - L. González - D. Borja,X,40084.34
(SUMA) - E. Gómez - I. Díaz,Tiktok,1432.67
(UP) - J. Escala - P. Terán,Facebook,4221.5
(UP) - J. Escala - P. Terán,Instagram,3924.5
(UP) - J. Escala - P. Terán,Tiktok,25134.57
(UP) - J. Escala - P. Terán,X,1.03
Todos,Facebook,142156.0
Todos,Instagram,214910.0
Todos,Tiktok,4064321.15
Todos,X,324763.95
