binomio_presidencial,lista_orden,color_rgb,color_hexadecimal
(CD) - J. Jairala - L. Vallecilla,1,"249,146,0",#F99200
(UP) - J. Escala - P. Terán,2,"213,28,22",#D51C16
(PSP) - A. González - G. Moncayo,3,"43,141,81",#2B8D51
(PID) - V. Araus - C. Carrera,4,"0,164,79",#00A44F
(RC/RETO) - L. González - D. Borja,5,"1,158,217",#019ED9
(PSC) - H. Kronfle - D. Passailaigue,6,"255,190,7",#FFBE07
(ADN) - D. Noboa - M. Pinto,7,"114,42,131",#722A83
(AVANZA) - L. Tilleria - K. Rosero,8,"0,80,157",#00509D
(ID) - C. Rabascall - A. Rivas,12,"247,130,30",#F7821E
(AMIGO) - J. Cueva - C. Reyes,16,"235,18,12",#EB120C
(PSE) - P. Granja - V. Silva,17,"237,35,25",#ED2319
(MUPP) - L. Iza - K. Molina,18,"33,43,101",#212B65
(DSI) - I. Saquicela - M. Coello,20,"236,18,34",#EC1222
(CREO) - F. Tabacchi - B. Sacancela,21,"1,76,138",#014C8A
(SUMA) - W. Gómez - I. Díaz,23,"0,112,157",#00709D
(CONSTRUYE) - H. Cucalón - C. Larrea,25,"43,78,155",#2B4E9B
