DPA_VALOR,DPA_ANIO,DPA_CANTON,DPA_DESCAN,DPA_PROVIN,DPA_DESPRO,PCODE2,centroid_lon,centroid_lat
0,2011,0101,CUENCA,01,AZUAY,EC0101,-79.21997105614662,-2.8614695511859964
0,2011,0102,GIRON,01,AZUAY,EC0102,-79.1593049234182,-3.1795109316024437
0,2011,0103,GUALACEO,01,AZUAY,EC0103,-78.77647523721286,-2.918649560065051
0,2011,0104,NABON,01,AZUAY,EC0104,-79.11898991073517,-3.329734532647832
0,2011,0105,PAUTE,01,AZUAY,EC0105,-78.74181321507956,-2.7534184582840435
0,2011,0106,PUCARA,01,AZUAY,EC0106,-79.52749037309466,-3.192396835488839
0,2011,0107,SAN FERNANDO,01,AZUAY,EC0107,-79.2681489019544,-3.132780488835338
0,2011,0108,SANTA ISABEL,01,AZUAY,EC0108,-79.36353178654186,-3.202296449959946
0,2011,0109,SIGSIG,01,AZUAY,EC0109,-78.85395946172903,-3.129820270215377
0,2011,0110,OÑA,01,AZUAY,EC0110,-79.13064348549288,-3.4891425690968654
0,2011,0111,CHORDELEG,01,AZUAY,EC0111,-78.73400168374111,-2.986582681171755
0,2011,0112,EL PAN,01,AZUAY,EC0112,-78.65472696480549,-2.857863495099368
0,2011,0113,SEVILLA DE ORO,01,AZUAY,EC0113,-78.56274494623324,-2.678276581598417
0,2011,0114,GUACHAPALA,01,AZUAY,EC0114,-78.7015270097669,-2.773361317185812
0,2011,0115,CAMILO PONCE ENRIQUEZ,01,AZUAY,EC0115,-79.59864016515026,-2.9778129701726046
0,2011,0201,GUARANDA,02,BOLIVAR,EC0201,-79.04955886709209,-1.414599660358425
0,2011,0202,CHILLANES,02,BOLIVAR,EC0202,-79.12113829083891,-2.011570520360162
0,2011,0203,CHIMBO,02,BOLIVAR,EC0203,-79.14478058017329,-1.6732201544560312
0,2011,0204,ECHEANDIA,02,BOLIVAR,EC0204,-79.26271100917597,-1.4553630284885162
0,2011,0205,SAN MIGUEL,02,BOLIVAR,EC0205,-79.10374627312041,-1.794462308478829
0,2011,0206,CALUMA,02,BOLIVAR,EC0206,-79.21885534138376,-1.608031942042083
0,2011,0207,LAS NAVES,02,BOLIVAR,EC0207,-79.29243950455195,-1.286994935134059
0,2011,0301,AZOGUES,03,CAÐAR,EC0301,-78.746629632678,-2.6265224542709595
0,2011,0302,BIBLIAN,03,CAÐAR,EC0302,-78.96551007519795,-2.6724441902504634
0,2011,0303,CAÑAR,03,CAÐAR,EC0303,-79.05244846779576,-2.506835363274235
0,2011,0304,LA TRONCAL,03,CAÐAR,EC0304,-79.38200789166123,-2.448572755071109
0,2011,0305,EL TAMBO,03,CAÐAR,EC0305,-78.91854793377816,-2.491265083445395
0,2011,0306,DELEG,03,CAÐAR,EC0306,-78.93942014574664,-2.762876917792755
0,2011,0307,SUSCAL,03,CAÐAR,EC0307,-79.0668885662259,-2.4641926517264254
0,2011,0401,TULCAN,04,CARCHI,EC0401,-78.14361369798645,0.9062517214051587
0,2011,0402,BOLIVAR,04,CARCHI,EC0402,-77.92281784326433,0.4755915918805588
0,2011,0403,ESPEJO,04,CARCHI,EC0403,-78.04027346483512,0.7125052105110183
0,2011,0404,MIRA,04,CARCHI,EC0404,-78.19921375115742,0.722382822532664
0,2011,0405,MONTUFAR,04,CARCHI,EC0405,-77.81538089505852,0.5671538126653414
0,2011,0406,SAN PEDRO DE HUACA,04,CARCHI,EC0406,-77.71427713854425,0.6127492741121523
0,2011,0501,LATACUNGA,05,COTOPAXI,EC0501,-78.58036739697557,-0.7944623728496891
0,2011,0502,LA MANA,05,COTOPAXI,EC0502,-79.14137554080156,-0.8027022583315843
