id_canton,name_canton,0401,0402,0406
0602,Alausí,44.44,27.78,11.11
2202,Aguarico,57.14,28.57,28.57
1801,Ambato,15.27,3.32,1.55
0902,Alfredo Baquerizo Moreno,61.9,,9.52
1002,Antonio Ante,30.0,10.0,4.0
1604,Arajuno,,,
1503,Archidona,71.43,,
0703,Atahualpa,42.86,,
0806,Atacames,48.57,17.14,11.43
0702,Arenillas,50.0,16.67,11.11
0301,Azogues,47.17,16.04,1.89
1201,Babahoyo,57.22,11.67,7.22
1202,Baba,44.9,40.82,14.29
0903,Balao,71.43,,7.14
0704,Balsas,57.14,28.57,14.29
0904,Balzar,41.67,36.9,14.29
1802,Baños,33.33,,
1302,Bolívar (Manabí),48.57,14.29,10.0
0402,Bolívar (Carchi),35.71,28.57,
1210,Buena Fe,40.0,8.57,5.71
1102,Calvas,26.19,30.95,4.76
0206,Caluma,57.14,21.43,
0115,Camilo Ponce Enríquez,50.0,7.14,14.29
0302,Biblián,31.75,11.11,4.76
0303,Cañar,38.24,32.35,2.94
2106,Cascales,,,
1103,Catamayo,35.71,7.14,7.14
1509,Carlos Julio Arosemena,71.43,7.14,
1702,Cayambe,34.07,16.48,
1803,Cevallos,28.57,,
1105,Chaguarpamba,42.86,21.43,21.43
1907,Centinela del Cóndor,28.57,28.57,14.29
0604,Chambo,66.67,16.67,16.67
1902,Chinchipe,66.67,28.57,9.52
0705,Chilla,,,
0202,Chillanes,61.9,23.81,
0111,Chordeleg,50.0,28.57,7.14
1303,Chone,46.26,27.21,2.72
0605,Chunchi,42.86,21.43,
0905,Colimes,38.1,50.0,19.05
1003,Cotacachi,36.73,34.69,6.12
0923,Coronel Marcelino Maridueña,,,
0603,Colta,33.77,46.75,2.6
0101,Cuenca,28.84,5.15,2.23
2107,Cuyabeno,57.14,14.29,7.14
0610,Cumandá,42.86,7.14,14.29
0906,Daule,42.86,20.3,7.52
0907,Durán,36.54,8.65,7.69
0204,Echeandía,47.06,2.94,5.88
0306,Deleg,14.29,42.86,
1304,El Carmen,59.74,20.78,11.69
1504,El Chaco,64.29,14.29,7.14
0706,El Guabo,62.86,8.57,11.43
0908,El Empalme,65.08,9.52,7.94
1906,El Pangui,14.29,28.57,
0112,El Pan,64.29,7.14,
0909,El Triunfo,57.14,14.29,16.33
0801,Esmeraldas,47.6,12.02,11.06
0305,El Tambo,71.43,21.43,
0802,Eloy Alfaro,,,
0403,Espejo,57.14,28.57,14.29
1305,Flavio Alfaro,14.29,42.86,
1106,Espíndola,57.14,28.57,
0102,Girón,42.86,25.71,5.71
