Title,Worldwide_Gross,Release_Date,MPAA_Rating,Major_Genre,Rotten_Tomatoes_Rating,IMDB_Rating
Boynton Beach Club,3127472,Mar 24 2006,R,Romantic Comedy,,
Broken Arrow,148345997,Feb 09 1996,R,Action,55,5.8
Brazil,9929135,Dec 18 1985,R,Black Comedy,98,8
The Cable Guy,102825796,Jun 14 1996,PG-13,Comedy,52,5.8
Chain Reaction,60209334,Aug 02 1996,PG-13,Action,13,5.2
City Hall,20278055,Feb 16 1996,R,Drama,55,6.1
Courage Under Fire,100833145,Jul 12 1996,R,Drama,85,6.6
Dante's Peak,178200000,Feb 07 1997,PG-13,Drama,28,5.6
Daylight,158908290,Dec 06 1996,PG-13,Action,22,5.4
Dragonheart,104364680,May 31 1996,PG-13,Adventure,50,6.2
Emma,37831658,Aug 02 1996,PG,Romantic Comedy,,6.8
Escape from L.A.,25426861,Aug 09 1996,R,Action,56,5.3
Eraser,234400000,Jun 21 1996,R,Action,34,5.9
From Dusk Till Dawn,25728961,Jan 19 1996,R,Horror,63,7.1
First Morning,87264,Jul 15 2005,PG-13,Drama,,
Fled,19892205,Jul 19 1996,R,Action,14,4.9
Fantasia 2000 (IMAX),60507228,Jan 01 2000,G,Musical,,
Fargo,51204567,Mar 08 1996,R,Thriller/Suspense,94,8.3
The First Wives Club,181489203,Sep 20 1996,PG,Comedy,41,5.6
The Ghost and the Darkness,38564422,Oct 11 1996,R,Action,51,6.6
The Glimmer Man,36404841,Oct 04 1996,R,Action,13,4.9
Gone with the Wind,390525192,Dec 15 2039,G,Drama,97,8.2
Happy Gilmore,38623460,Feb 16 1996,PG-13,Comedy,58,6.9
Harriet the Spy,26570048,Jul 10 1996,PG,Adventure,45,5.8
Independence Day,817400878,Jul 02 1996,PG-13,Adventure,61,6.5
The Island of Dr. Moreau,27682712,Aug 23 1996,PG-13,Adventure,23,4.1
The Island,15716828,Jun 13 1980,PG-13,Adventure,,6.9
Jack,58617334,Aug 09 1996,PG-13,Drama,17,5.3
Jingle All the Way,129832389,Nov 22 1996,PG,Comedy,16,4.9
The Juror,22730924,Feb 02 1996,R,Thriller/Suspense,16,5.3
Kingpin,32223424,Jul 26 1996,R,Comedy,51,6.7
The Long Kiss Goodnight,33447612,Oct 11 1996,R,Action,69,6.6
Last Man Standing,18115927,Sep 20 1996,R,Action,,
Aliens,183316455,Jul 18 1986,R,Action,100,7.5
Mars Attacks!,101371017,Dec 13 1996,PG-13,Comedy,50,6.3
The Mirror Has Two Faces,41267469,Nov 15 1996,PG-13,Romantic Comedy,54,6
Mission: Impossible,456481886,May 21 1996,PG-13,Action,,6.9
Multiplicity,20133326,Jul 17 1996,PG-13,Comedy,44,5.7
The English Patient,231716374,Nov 15 1996,R,Drama,83,7.3
The Nutty Professor,273814019,Jun 28 1996,PG-13,Comedy,67,5.6
Phenomenon,142836382,Jul 05 1996,PG,Drama,50,6.3
The Phantom,17220599,Jun 07 1996,PG,Action,43,4.8
The Adventures of Pinocchio,36682170,Jul 26 1996,G,Adventure,27,5.3
Ransom,308700000,Nov 08 1996,R,Action,70,6.6
Rumble in the Bronx,36238752,Feb 23 1996,R,Action,,
Romeo+Juliet,147542381,Nov 01 1996,PG-13,Drama,,6.5
The Rock,336069511,Jun 07 1996,R,Action,66,7.2
Sgt. Bilko,37956589,Mar 29 1996,PG,Comedy,33,5.2
Shine,35811509,Nov 22 1996,PG-13,Drama,90,7.6
Set It Off,36049108,Nov 06 1996,R,Drama,61,6.3
Thinner,15171475,Oct 25 1996,R,Horror,18,5.3
Sling Blade,34175000,Nov 20 1996,R,Drama,96,8
Sleepers,165600852,Oct 18 1996,R,Drama,73,7.3
Stonewall,304602,Jul 26 1996,R,Drama,,7
Striptease,32773011,Jun 28 1996,R,Comedy,12,3.9
Saints and Soldiers,1310470,Aug 06 2004,PG-13,Drama,,7
Spy Hard,26936265,May 24 1996,PG-13,Comedy,7,4.7
Tin Cup,75854588,Aug 16 1996,R,Romantic Comedy,69,6.1
The Fan,18582965,Aug 16 1996,R,Thriller/Suspense,40,5.6
The Craft,55669466,May 03 1996,R,Thriller/Suspense,45,5.9
Trainspotting,24000785,Jul 19 1996,R,Drama,89,8.2
A Time to Kill,152266007,Jul 24 1996,R,Drama,68,7.1
That Thing You Do!,31748615,Oct 04 1996,PG,Drama,92,6.7
Twister,495900000,May 10 1996,PG-13,Action,57,6
The Work and the Glory: American Zion,2025032,Oct 21 2005,PG-13,Drama,,5.6
The Wizard of Oz,28202232,Aug 25 2039,G,Musical,,8.3
Executive Decision,122079192,Mar 15 1996,R,Thriller/Suspense,65,6.3
Extreme Measures,17378193,Sep 27 1996,R,Drama,55,5.9
Eye for an Eye,26792700,Jan 12 1996,R,Drama,,5.7
102 Dalmatians,66941559,Nov 22 2000,G,Comedy,30,4.4
Ten Things I Hate About You,38177966,Mar 31 1999,PG-13,Romantic Comedy,,6.9
12 Rounds,18184083,Mar 27 2009,PG-13,Action,28,5.4
13 Going On 30,96439723,Apr 23 2004,PG-13,Comedy,,6.1
Thirteen Ghosts,68467960,Oct 26 2001,R,Horror,,5.1
1408,128529299,Jun 22 2007,PG-13,Horror,78,6.9
15 Minutes,56331864,Mar 09 2001,R,Thriller/Suspense,32,6.1
2012,766812167,Nov 13 2009,PG-13,Action,39,6.2
28 Days,62063972,Apr 14 2000,PG-13,Comedy,30,5.8
28 Days Later...,82719885,Jun 27 2003,R,Horror,89,7.6
28 Weeks Later,64238440,May 11 2007,R,Horror,,7.1
2 For the Money,27848418,Oct 07 2005,R,Drama,,
Secondhand Lions,47855342,Sep 19 2003,PG,Drama,60,7.5
Two Can Play That Game,22391450,Sep 07 2001,R,Romantic Comedy,43,5.6
Two Weeks Notice,199043309,Dec 20 2002,PG-13,Romantic Comedy,42,5.8
300,456068181,Mar 09 2007,R,Action,60,7.8
Three Kings,107752036,Oct 01 1999,R,Action,94,7.3
3:10 to Yuma,69791889,Sep 02 2007,R,Western,89,7.9
40 Days and 40 Nights,95092667,Mar 01 2002,R,Romantic Comedy,38,5.4
The 40 Year-old Virgin,177339049,Aug 19 2005,R,Comedy,,7.5
Four Brothers,92494381,Aug 12 2005,R,Drama,52,6.8
50 First Dates,196376832,Feb 13 2004,PG-13,Romantic Comedy,44,6.8
The 6th Day,96024898,Nov 17 2000,PG-13,Action,40,5.8
88 Minutes,32955399,Apr 18 2008,R,Thriller/Suspense,5,5.9
8 Mile,242924075,Nov 08 2002,R,Drama,74,6.7
The Whole Nine Yards,85262492,Feb 18 2000,R,Comedy,45,6.6
About a Boy,129949664,May 17 2002,PG-13,Romantic Comedy,93,7.4
A Bug's Life,363109485,Nov 20 1998,G,Adventure,91,7.3
Absolute Power,50068310,Feb 14 1997,R,Thriller/Suspense,46,6.5
Aeon Flux,47953341,Dec 02 2005,PG-13,Action,10,8.1
After the Sunset,38329114,Nov 12 2004,PG-13,Action,18,6.2
A Good Year,42064105,Nov 10 2006,PG-13,Drama,24,6.8
Agora,32912303,May 28 2010,R,Drama,,7.3
Air Bud,27555061,Aug 01 1997,PG,Comedy,45,4.6
Air Force One,315268353,Jul 25 1997,R,Action,78,6.3
All the King's Men,9521458,Sep 22 2006,PG-13,Drama,11,6
The Alamo,23911362,Apr 09 2004,PG-13,Western,30,5.9
